iter	Passed	Remaining
0	14	14007
1	27	13659
2	40	13520
3	53	13417
4	67	13394
5	80	13333
6	93	13217
7	106	13178
8	119	13177
9	132	13158
10	145	13094
11	158	13031
12	170	12975
13	183	12901
14	195	12835
15	208	12813
16	221	12791
17	233	12743
18	245	12690
19	259	12706
20	272	12709
21	283	12621
22	296	12611
23	310	12611
24	323	12612
25	336	12603
26	349	12595
27	362	12576
28	375	12577
29	389	12581
30	402	12572
31	415	12577
32	428	12569
33	442	12561
34	455	12560
35	468	12542
36	481	12532
37	495	12534
38	508	12532
39	522	12530
40	535	12528
41	548	12517
42	561	12505
43	575	12495
44	588	12491
45	601	12477
46	615	12473
47	628	12464
48	641	12453
49	655	12448
50	668	12440
51	682	12437
52	695	12425
53	708	12409
54	721	12391
55	734	12377
56	747	12362
57	760	12348
58	773	12342
59	786	12329
60	800	12320
61	814	12315
62	827	12309
63	841	12302
64	854	12289
65	867	12279
66	880	12266
67	893	12249
68	906	12235
69	920	12225
70	933	12214
71	946	12198
72	959	12179
73	971	12156
74	983	12132
75	995	12109
76	1008	12091
77	1021	12074
78	1033	12053
79	1046	12031
80	1059	12016
81	1072	12007
82	1086	11999
83	1099	11988
84	1112	11978
85	1125	11965
86	1139	11953
87	1152	11944
88	1165	11932
89	1179	11922
90	1192	11913
91	1206	11903
92	1219	11894
93	1232	11875
94	1244	11854
95	1257	11838
96	1269	11819
97	1282	11800
98	1294	11782
99	1307	11766
100	1319	11747
101	1333	11739
102	1346	11730
103	1360	11721
104	1373	11710
105	1387	11700
106	1400	11691
107	1414	11680
108	1427	11667
109	1440	11658
110	1454	11645
111	1466	11630
112	1480	11618
113	1492	11599
114	1505	11583
115	1517	11566
116	1530	11547
117	1542	11532
118	1555	11517
119	1567	11498
120	1580	11480
121	1592	11462
122	1605	11448
123	1618	11431
124	1630	11413
125	1642	11394
126	1655	11378
127	1663	11334
128	1677	11324
129	1690	11313
130	1704	11303
131	1716	11289
132	1730	11280
133	1743	11269
134	1757	11260
135	1770	11248
136	1784	11239
137	1797	11227
138	1811	11218
139	1824	11206
140	1837	11195
141	1850	11183
142	1864	11174
143	1878	11164
144	1890	11148
145	1904	11142
146	1917	11127
147	1930	11112
148	1943	11098
149	1956	11084
150	1968	11068
151	1982	11057
152	1995	11047
153	2009	11036
154	2022	11025
155	2036	11017
156	2049	11005
157	2063	10995
158	2076	10983
159	2090	10973
160	2104	10965
161	2117	10955
162	2131	10942
163	2145	10936
164	2158	10923
165	2171	10908
166	2183	10891
167	2196	10878
168	2209	10863
169	2221	10848
170	2234	10831
171	2247	10821
172	2261	10810
173	2275	10800
174	2288	10787
175	2301	10776
176	2315	10765
177	2329	10755
178	2342	10743
179	2356	10733
180	2369	10721
181	2382	10709
182	2397	10701
183	2410	10688
184	2422	10672
185	2435	10656
186	2447	10642
187	2460	10627
188	2473	10612
189	2485	10596
190	2498	10583
191	2511	10568
192	2523	10552
193	2536	10536
194	2548	10522
195	2562	10509
196	2574	10493
197	2586	10477
198	2599	10464
199	2612	10449
200	2625	10434
201	2637	10419
202	2650	10404
203	2662	10390
204	2675	10374
205	2687	10358
206	2700	10345
207	2713	10331
208	2725	10316
209	2738	10302
210	2751	10288
211	2763	10273
212	2776	10258
213	2789	10245
214	2803	10234
215	2816	10221
216	2828	10205
217	2840	10190
218	2853	10177
219	2866	10164
220	2879	10150
221	2892	10136
222	2905	10123
223	2918	10109
224	2930	10095
225	2943	10082
226	2956	10067
227	2969	10053
228	2981	10038
229	2994	10025
230	3007	10011
231	3020	9997
232	3032	9983
233	3045	9970
234	3058	9957
235	3071	9942
236	3083	9927
237	3096	9912
238	3109	9899
239	3121	9885
240	3134	9871
241	3147	9857
242	3160	9844
243	3172	9830
244	3185	9817
245	3198	9803
246	3211	9789
247	3223	9775
248	3236	9762
249	3249	9749
250	3262	9734
251	3274	9720
252	3287	9707
253	3300	9694
254	3313	9680
255	3326	9668
256	3339	9655
257	3352	9641
258	3364	9626
259	3377	9612
260	3390	9600
261	3403	9586
262	3415	9571
263	3428	9557
264	3441	9544
265	3454	9531
266	3466	9517
267	3479	9503
268	3492	9490
269	3505	9477
270	3518	9463
271	3531	9451
272	3544	9438
273	3556	9424
274	3569	9409
275	3582	9396
276	3594	9382
277	3607	9368
278	3619	9354
279	3632	9341
280	3645	9327
281	3658	9314
282	3670	9300
283	3683	9285
284	3696	9273
285	3709	9260
286	3723	9249
287	3736	9238
288	3749	9224
289	3761	9210
290	3774	9196
291	3787	9183
292	3800	9170
293	3812	9155
294	3825	9142
295	3838	9129
296	3851	9116
297	3864	9103
298	3877	9090
299	3890	9077
300	3903	9064
301	3916	9051
302	3928	9037
303	3941	9024
304	3954	9010
305	3966	8996
306	3979	8983
307	3992	8970
308	4005	8956
309	4017	8942
310	4030	8928
311	4042	8914
312	4055	8900
313	4067	8886
314	4080	8872
315	4093	8860
316	4106	8846
317	4119	8835
318	4133	8823
319	4146	8811
320	4159	8799
321	4173	8788
322	4187	8776
323	4200	8764
324	4214	8752
325	4227	8740
326	4241	8728
327	4254	8716
328	4268	8704
329	4280	8691
330	4293	8678
331	4306	8664
332	4319	8651
333	4331	8637
334	4344	8624
335	4356	8609
336	4369	8595
337	4382	8582
338	4395	8571
339	4409	8559
340	4422	8547
341	4436	8535
342	4450	8523
343	4463	8512
344	4477	8500
345	4490	8488
346	4504	8477
347	4518	8465
348	4532	8453
349	4544	8439
350	4556	8425
351	4569	8411
352	4582	8398
353	4595	8385
354	4607	8371
355	4619	8356
356	4632	8343
357	4645	8330
358	4658	8317
359	4671	8304
360	4684	8292
361	4698	8280
362	4712	8268
363	4725	8257
364	4739	8245
365	4752	8233
366	4766	8221
367	4780	8209
368	4794	8198
369	4807	8186
370	4821	8174
371	4835	8162
372	4847	8149
373	4860	8135
374	4872	8121
375	4885	8107
376	4898	8094
377	4910	8080
378	4923	8068
379	4936	8054
380	4949	8040
381	4961	8027
382	4974	8013
383	4987	8000
384	4999	7986
385	5012	7972
386	5025	7959
387	5037	7946
388	5050	7932
389	5062	7918
390	5075	7904
391	5087	7891
392	5100	7877
393	5112	7863
394	5125	7850
395	5138	7837
396	5150	7823
397	5162	7809
398	5175	7795
399	5188	7782
400	5200	7768
401	5213	7754
402	5227	7743
403	5239	7730
404	5252	7716
405	5264	7702
406	5277	7689
407	5290	7676
