iter	Logloss
0	0.6840621582
1	0.6744935547
2	0.665480957
3	0.6570299316
4	0.6481811035
5	0.6397852539
6	0.6315498535
7	0.6236222168
8	0.6163642578
9	0.608688916
10	0.6014269043
11	0.594554248
12	0.5875332031
13	0.5812304199
14	0.5745725586
15	0.5679183105
16	0.5616796875
17	0.5559632813
18	0.5502903809
19	0.5447241211
20	0.5388689941
21	0.5333628906
22	0.5279660645
23	0.522567627
24	0.5173667969
25	0.5122878418
26	0.5074518555
27	0.5030353516
28	0.4984090332
29	0.4939083496
30	0.4895150391
31	0.4855259766
32	0.481692627
33	0.4778387695
34	0.4737901367
35	0.4700041992
36	0.4665695313
37	0.4628576172
38	0.4595266602
39	0.456278125
40	0.4528905273
41	0.449808252
42	0.4468556641
43	0.4439029297
44	0.4408819824
45	0.4379088867
46	0.4349731934
47	0.4323403809
48	0.4297924805
49	0.4270228516
50	0.4243732422
51	0.4217824219
52	0.4192475098
53	0.4167543457
54	0.4143451172
55	0.4120314941
56	0.4096901855
57	0.4074466064
58	0.4055081787
59	0.4034734375
60	0.4013958984
61	0.3995658936
62	0.3975729248
63	0.3956372314
64	0.3938939209
65	0.3922605469
66	0.3905787598
67	0.3889621582
68	0.3874068604
69	0.3857281006
70	0.3840852051
71	0.3827535889
72	0.3811930908
73	0.3797166748
74	0.3781998047
75	0.3769351807
76	0.3756243896
77	0.3742581787
78	0.3729156494
79	0.3717310547
80	0.3705149902
81	0.3692210693
82	0.3681244873
83	0.3668900635
84	0.365798999
85	0.3646230469
86	0.3635715332
87	0.362442749
88	0.361298584
89	0.3602205322
90	0.3593178955
91	0.3582940186
92	0.3573085938
93	0.3563377441
94	0.3554452393
95	0.354580957
96	0.3537845459
97	0.3528919434
98	0.352041626
99	0.3512544189
100	0.3504896973
101	0.3497900391
102	0.3490237305
103	0.3482543457
104	0.3476279053
105	0.3470093506
106	0.3464130371
107	0.3457647705
108	0.3450747803
109	0.3444303711
110	0.3437303955
111	0.3432362061
112	0.3427012207
113	0.34205271
114	0.3414630127
115	0.3409200928
116	0.3404079346
117	0.3398202881
118	0.3392426514
119	0.338744165
120	0.3381854004
121	0.3377391357
122	0.3372188721
123	0.3366680176
124	0.3362640869
125	0.3357124268
126	0.3352878174
127	0.3348131104
128	0.3344237793
129	0.3339829346
130	0.3335513672
131	0.333161792
