iter	Passed	Remaining
0	13	13150
1	25	12662
2	37	12477
3	49	12423
4	62	12359
5	74	12303
6	86	12273
7	98	12243
8	110	12202
9	123	12177
10	135	12145
11	147	12115
12	159	12115
13	173	12189
14	185	12173
15	197	12165
16	210	12145
17	222	12137
18	234	12120
19	247	12103
20	259	12085
21	271	12069
22	283	12051
23	295	12029
24	308	12014
25	320	11997
26	332	11979
27	344	11958
28	356	11945
29	368	11930
30	379	11857
31	391	11843
32	403	11826
33	415	11814
34	428	11804
35	440	11795
36	452	11782
37	464	11765
38	477	11754
39	489	11738
40	501	11733
41	514	11738
42	528	11760
43	540	11749
44	553	11736
45	565	11726
46	577	11718
47	591	11732
48	603	11717
49	615	11703
50	628	11686
51	640	11669
52	652	11657
53	664	11645
54	676	11631
55	689	11617
56	701	11605
57	713	11589
58	725	11576
59	739	11581
60	751	11567
61	763	11556
62	776	11556
63	789	11544
64	801	11531
65	813	11518
66	826	11502
67	838	11488
68	850	11474
69	862	11459
70	875	11459
71	888	11447
72	900	11435
73	912	11424
74	925	11410
75	937	11398
76	950	11399
77	963	11386
78	975	11373
79	987	11359
80	999	11345
81	1012	11332
82	1024	11318
83	1036	11304
84	1048	11289
85	1060	11274
86	1073	11261
87	1085	11247
88	1097	11233
89	1109	11220
90	1121	11205
91	1133	11191
92	1146	11178
93	1159	11174
94	1171	11162
95	1184	11149
96	1196	11137
97	1208	11125
98	1220	11112
99	1233	11098
100	1245	11084
101	1257	11070
102	1269	11057
103	1281	11044
104	1294	11032
105	1308	11032
106	1320	11020
107	1332	11009
108	1345	10996
109	1357	10983
110	1370	10973
111	1382	10961
112	1394	10948
113	1407	10936
114	1420	10929
115	1432	10915
116	1444	10901
117	1456	10890
118	1469	10876
119	1481	10864
120	1494	10860
121	1507	10849
122	1519	10835
123	1531	10822
124	1544	10808
125	1556	10795
126	1568	10781
127	1580	10767
128	1592	10754
129	1605	10742
130	1617	10728
131	1629	10716
132	1641	10703
133	1654	10690
134	1666	10677
135	1678	10665
136	1692	10658
137	1704	10645
138	1716	10632
139	1728	10619
140	1740	10606
141	1753	10593
142	1765	10581
143	1777	10568
144	1790	10555
145	1802	10543
146	1814	10529
147	1826	10516
148	1839	10503
149	1851	10489
150	1863	10477
151	1875	10464
152	1887	10450
153	1900	10438
154	1912	10424
155	1924	10411
156	1936	10399
157	1949	10387
158	1961	10374
159	1973	10362
160	1986	10349
161	1998	10337
162	2010	10325
163	2023	10313
164	2036	10306
165	2049	10295
166	2061	10283
167	2074	10272
168	2086	10261
169	2099	10249
170	2111	10237
171	2124	10226
172	2136	10214
173	2149	10201
174	2161	10190
175	2173	10177
176	2186	10165
177	2198	10152
178	2210	10140
179	2223	10128
180	2235	10115
181	2247	10102
182	2259	10089
183	2272	10076
184	2284	10065
185	2297	10054
186	2309	10041
187	2322	10029
188	2334	10017
189	2346	10004
190	2359	9992
191	2371	9980
192	2383	9967
193	2396	9955
194	2408	9942
195	2420	9929
196	2433	9917
197	2445	9905
198	2457	9893
199	2470	9880
200	2482	9868
201	2496	9860
202	2509	9850
203	2522	9841
204	2535	9830
205	2548	9823
206	2561	9811
207	2573	9798
208	2585	9786
209	2598	9774
210	2610	9761
211	2623	9749
212	2635	9737
213	2649	9730
214	2661	9718
215	2674	9705
216	2686	9693
217	2699	9681
218	2711	9669
219	2723	9656
220	2736	9644
221	2748	9632
222	2762	9624
223	2774	9612
224	2787	9599
225	2799	9587
226	2811	9575
227	2824	9562
228	2836	9550
229	2849	9538
230	2861	9525
231	2873	9513
232	2886	9500
233	2898	9487
234	2910	9475
235	2923	9463
236	2935	9450
237	2949	9442
238	2961	9430
239	2973	9417
240	2986	9405
241	2998	9393
242	3011	9380
243	3023	9368
244	3036	9355
245	3048	9343
246	3060	9331
247	3073	9318
248	3086	9309
249	3098	9296
250	3111	9284
251	3123	9271
252	3135	9258
253	3148	9246
254	3160	9234
255	3173	9221
256	3185	9209
257	3198	9197
258	3210	9185
259	3223	9173
260	3235	9160
261	3247	9148
262	3261	9139
263	3273	9127
264	3286	9115
265	3299	9103
266	3311	9092
267	3324	9079
268	3336	9067
269	3348	9054
270	3361	9041
271	3373	9029
272	3386	9017
273	3398	9005
274	3412	8996
275	3424	8984
276	3437	8972
277	3450	8960
278	3462	8948
279	3475	8935
280	3487	8924
281	3501	8914
282	3513	8902
283	3526	8890
284	3538	8877
285	3550	8864
286	3563	8852
287	3575	8840
288	3588	8827
289	3600	8815
290	3614	8805
291	3626	8792
292	3638	8780
293	3651	8768
294	3663	8755
295	3676	8745
296	3689	8732
297	3701	8720
298	3714	8707
299	3726	8695
300	3739	8683
301	3751	8670
302	3764	8660
303	3777	8648
304	3789	8635
305	3802	8623
306	3814	8610
307	3826	8597
308	3839	8585
309	3852	8575
310	3865	8562
311	3877	8550
312	3889	8537
313	3902	8525
314	3914	8513
315	3927	8500
316	3939	8488
317	3953	8478
318	3965	8465
319	3978	8453
320	3990	8441
321	4003	8428
322	4015	8416
323	4027	8403
324	4039	8390
325	4052	8378
326	4064	8365
327	4077	8353
328	4089	8340
329	4101	8327
330	4114	8315
331	4126	8302
332	4138	8289
333	4151	8277
334	4163	8264
335	4175	8251
336	4188	8239
337	4200	8227
338	4212	8214
339	4225	8201
340	4237	8189
341	4249	8176
342	4262	8164
343	4274	8151
344	4287	8139
345	4299	8126
346	4311	8113
347	4324	8101
348	4336	8088
349	4348	8075
350	4360	8063
351	4373	8050
352	4385	8038
353	4397	8025
354	4410	8013
355	4422	8000
356	4436	7990
357	4448	7977
358	4461	7965
359	4473	7952
360	4487	7942
361	4499	7930
362	4512	7918
363	4524	7905
364	4536	7892
365	4549	7880
366	4561	7867
367	4574	7855
368	4586	7842
369	4598	7830
370	4611	7817
371	4623	7805
372	4635	7792
373	4648	7779
374	4660	7767
375	4672	7754
376	4685	7742
377	4697	7729
378	4709	7717
379	4722	7704
380	4734	7692
381	4747	7680
382	4759	7667
383	4771	7654
384	4783	7641
385	4796	7629
386	4808	7616
387	4821	7604
388	4833	7591
389	4845	7579
390	4858	7566
391	4870	7554
392	4882	7541
393	4895	7529
394	4907	7517
395	4921	7506
396	4933	7493
397	4946	7481
398	4958	7469
399	4971	7457
400	4984	7445
401	4996	7432
402	5008	7420
403	5021	7407
404	5033	7395
405	5046	7382
406	5059	7371
407	5071	7359
408	5084	7347
409	5097	7336
410	5110	7323
411	5122	7311
412	5135	7298
413	5147	7286
414	5160	7273
415	5172	7261
416	5184	7248
417	5197	7236
418	5210	7224
419	5222	7211
420	5234	7199
421	5247	7186
422	5259	7174
423	5273	7163
424	5285	7151
425	5298	7138
426	5310	7126
427	5322	7113
428	5335	7101
429	5347	7089
430	5360	7076
431	5372	7064
432	5386	7053
433	5398	7040
434	5411	7028
435	5423	7015
436	5436	7003
437	5448	6991
438	5461	6979
439	5474	6967
440	5487	6955
441	5500	6943
442	5512	6931
443	5525	6918
444	5537	6906
445	5550	6893
446	5562	6881
447	5575	6869
448	5587	6856
449	5599	6843
450	5613	6832
451	5625	6820
452	5637	6807
453	5650	6795
454	5662	6782
455	5674	6770
456	5687	6757
457	5700	6746
458	5713	6734
459	5726	6721
460	5738	6709
461	5751	6697
462	5764	6685
463	5776	6673
464	5789	6660
465	5801	6647
466	5813	6635
467	5826	6623
468	5840	6612
469	5853	6600
470	5865	6587
471	5877	6575
472	5891	6563
473	5903	6551
474	5916	6539
475	5928	6526
476	5941	6514
477	5953	6501
478	5966	6490
479	5979	6477
480	5991	6465
481	6004	6452
482	6016	6439
483	6028	6427
484	6041	6414
485	6053	6402
486	6065	6389
487	6078	6377
488	6090	6364
489	6102	6351
490	6115	6339
491	6127	6326
492	6141	6315
493	6153	6303
494	6166	6290
495	6178	6278
496	6191	6265
497	6203	6253
498	6215	6240
499	6228	6228
500	6242	6217
501	6254	6204
502	6266	6192
503	6279	6179
504	6291	6166
505	6303	6154
506	6316	6141
507	6328	6129
